FRName,BugURL,IssueTitle,Type,Status,Priority,Resolution,Affects Version/s,Fix Version/s,Component/s,Description
CXF-3635,"https://issues.apache.org/jira/browse/CXF-3635
",WS-Trust SPNego (WCF message level spnego),New Feature,CLOSED,Major,Fixed,2.3.5,"2.4.7, 2.5.3",WS-* Components,"We have spent time implementing SPNego over WS-Trust support for CXF and wish to submit it for possible inclusion in CXF itself. (Or at least as an example for others to follow) This was implemented so we could use the webservice of MS CRM 2011 when configured for 'on-premise' security, although I think WCF 4.0 uses this type of security by default if you explicitly change it. So I'm sure this functionality would be useful to others."
CXF-4173,"https://issues.apache.org/jira/browse/CXF-4173
",Support for ClaimValue element of federation claims dialect added,New Feature,CLOSED,Major,Fixed,2.5.2,2.5.3,Services,"As discussed in CXF-4062, the support for the ClaimValue as a child element of wst:Claims element in the RST is missing.
Ex.
<ic:ClaimValue Uri=""http://schemas.mycompany.com/2012/01/claims/role"">
<ic:Value>admin</ic:Value>
</ic:ClaimValue>"
CXF-4049,"https://issues.apache.org/jira/browse/CXF-4049
",Check external CryptoProvider from message context properties in Wss4jInInterceptor,Improvement,CLOSED,Major,Fixed,2.5.1,"2.4.7, 2.5.3",Core,"Hi,
Just a small improvements in Wss4jInInterceptor.
Normally CryptoProvider doesn't instantiated directly via CryptoFactory, but firstly tried to obtained from message context properties (SecurityConstants.ENCRYPT_CRYPTO, SecurityConstants.SIGNATURE_CRYPTO). And only if the properties are not set, CryptoProvider is instantiated via CryptoFactory. This gives the possibility to replace Merlin CryptoProvider to custom one (probably non keystore based).
AbstractBindingBuilder, XmlSignHandler, SAMLUtils are working in this way.
Unfortunatelly it is not the case for Wss4jInInterceptor. It doesn't initializes crypto provider in RequestData and crypto provider is always created via CryptoFactory. It makes impossible to use custom implementation of CryptoProvider in incoming chain.
Patch is attached.
Regards,
Andrei."
CXF-3882,"https://issues.apache.org/jira/browse/CXF-3882
",Support for Claims transformation in validate or issue RST,New Feature,CLOSED,Major,Fixed,2.5,2.6,Services,"Use case:
A partner company have set up an STS which is connected to their identity system. The issued SAML token contain claims in the attribute statement which do have a different encoding for the same meaning. Applications should not directly depend on the claims because they will be different for each partner. Therefore, the application trusts a so called Relying Party STS whereas the partner uses their Identity Provider STS. If identities of the partners are provisioned into your identiy system you're fine with the current IdentityMapper interface but this means claims must be provisioned too. This might work for different identity system within the same company but doesn't scale with partners. In this case, the RP STS transforms the claims of the IP STS to claims which are understood by the application.
If claims information are correlated to a security token like a SAML token it's encoded within an Attribute Statement. If it is a SecureConversation token, it's not part of the token itself but locally cached. The claims might be encoded within a custom token also.
The token can be part of the WS-Security header (issue request) or within the ValidateTarget (validate request).
The TokenValidator must validate the token and return the realm which is the source realm.
The claims of the source realm must be provided by the token validator or retrieved from the cache.
The target realm is provided as part of the RealmParser implementation.
The claims transformation interface looks like something:
List<Claim> mapClaims (String sourceRealm, List<Claim> sourceClaims, String targetRealm)"
CXF-4062,"https://issues.apache.org/jira/browse/CXF-4062
",Enabling custom claim parser,Improvement,CLOSED,Major,Fixed,2.5.2,2.5.3,Services,"STS-core:
Currently there is now way to use a custom dialect in requested claims. Even http://schemas.xmlsoap.org/ws/2005/05/identity/claims is not fully supported (only ClaimType element).
Therefore I introduced a new Interface ClaimParser, and a DefaultClaimParser with the current parsing logic. This parser is called by default within RequestParser, so that the normal cxf behavior has not changed. But to make this process more flexible it is possible (with this patch) to register any kind of ClaimParser supporting a specific dialect. I implemented a IdentityClaimParser which is currently able to parser CustomType and CustomValueType elements within the wst:claims element. Since the current RequestClaim does not support any claim values, except of the Uri attribute, I created a SubClass ClaimValueType to also pass the claim value to the claim handler.
This patch is just a starting point. I think there should be a more complex redesign of the current claim handling implementation, because it is currently focused on only one Use-Case. The following improvements should be made:
The RequestClaim class should be replaced by a more flexible interface supporting any kind of parsing and handling custom dialects.
It should be possible to include/configure custom claimparser via spring config
A fully supported implementation of http://schemas.xmlsoap.org/ws/2005/05/identity/claims dialect would be great
Here is an example of a claims STS request which is supported by applying this patch:
<wst:Claims Dialect=""http://schemas.xmlsoap.org/ws/2005/05/identity"" xmlns:ic=""http://schemas.xmlsoap.org/ws/2005/05/identity"">
<ic:ClaimValue Uri=""http://schemas.xmlsoap.org/ws/2005/05/identity/claims/role""/>admin</ic:ClaimValue>
</wst:Claims>
Thank you for this great product!! I hope this patch can help to further improve CXF.
Best regards
Jan"
CXF-3990,"https://issues.apache.org/jira/browse/CXF-3990
",Change scope for EffectivePolicyImpl.initilise() and EndpointPolicyImpl.initilise() to more permissive,Improvement,CLOSED,Major,Fixed,None,"2.4.6, 2.5.2",Core,"Hi,
All initilize() methods in EffectivePolicyImpl and EndpointPolicyImpl are package private.
Unfortunatelly it prevents reusing of these classes in custom use cases.
Proposal: change method's scope to protected or public.
Patch with public alternative is attached.
Regards,
Andrei."
CXF-3930,"https://issues.apache.org/jira/browse/CXF-3930
",Extend ClaimsHandler interface to pass current realm and WebServiceContext,Improvement,CLOSED,Major,Fixed,2.5,2.5.1,Services,The interface ClaimsHandler should be extended to pass the current realm (or null if not present) and WebServiceContext.
CXF-3928,"https://issues.apache.org/jira/browse/CXF-3928
",Add token validation for OnBehalfOf element in TokenIssueOperation,Improvement,CLOSED,Major,Fixed,2.5,2.5.1,Services,"Tokens passed in OnBehalfOf element are not validated. It's the responsibility of the TokenProvider implementation to validate that.
A proposal has been discussed here:
http://cxf.547215.n5.nabble.com/STS-OnBehalfOf-token-validation-SAMLTokenProvider-td5003544.html
OnBehalfOf token validation is moved to the TokenIssueOperation and the ReceivedToken is enhanced with the following attributes:
was it a token of ws-security header (like ReceivedToken), onbehalfof, actas
successfully validated (it could be a token which depends on other constraints to be fully accepted)
original DOM element
transformed DOM element (used if the token is passed by ref, also supported by SAML spec)
principal (mostly, you only need the principal to issue a new token)"
CXF-3924,"https://issues.apache.org/jira/browse/CXF-3924
",Support to configure keystore per SAML realm,Improvement,CLOSED,Major,Fixed,2.5,2.5.1,Services,"You can configure the keystore in the properties file you configure using the attribute signaturePropertiesFile of the StaticSTSProperties class which is shared by all SAMLRealms. If you store several keys in one keystore, you can configure the signatureAlias in each SAMLRealm.
It's best practise to not share several private keys in a single java keystore. If you configure several realms in your STS deployment and each realm uses a different key to sign the saml assertion you must store all private keys in one java keystore.
Enhancement description:
Add the signaturePropertiesFile to the SAMLRealm too which is optional but if configured has higher priority than signaturePropertiesFile in StaticSTSProperties."
CXF-3879,"https://issues.apache.org/jira/browse/CXF-3879
",Add the ability to enforce a maximum attachment size,Improvement,CLOSED,Major,Fixed,"2.2.12, 2.3.7, 2.4.3","2.4.4, 2.3.8",JAX-RS,"Safe handling of multipart-* HTTP request requires the ability to cap the size of the uploaded attachments before they get cached. CXF does currently not provide an option for this (other frameworks such as the commons fileupload and the 3.0 servlet spec do provide this). I've attached a quick patch that allows one to set a option for enforcing a size limit while doing the attachment parsing (similar to the threshold and temp dir options). The biggest question imo is how to best bubble up a appropriate error. I chose to subclass IOException and then later on transform it into a 413 (request size too large) HTTP response, but would welcome input on other approaches.
I will attach a patch against CXF 2.2, but believe that it should also apply to newer versions."
CXF-3797,"https://issues.apache.org/jira/browse/CXF-3797
",WADL2Java Generator improvements,Improvement,CLOSED,Major,Fixed,None,"2.5, 2.4.4",JAX-RS,"Given a relatively complex WADL file (such as the one provided by Rackspace Cloud Servers API), JAX-RS WADL2Java Generator has many difficulties generating the proper Java classes.
To name a few:
Generated method parameter names may be invalid. For example a header parameter named 'X-Auth-Token' will not have the dashes removed before being converted to a Java method parameter. This results in invalid generated source.
@Produces annotation is not applied to methods, when the corresponding <response> element contains more that one representation elements.
Resolved XML-schemata(from the <grammars> section of the WADL) may contain included schemata.
The status attribute of the <response> element may contain a list of status codes. The generator is expecting none or a single entry. Also the generator looks only for HTTP status 200, while there are more valid codes, like 203.
The generated class names may collide with names of JAXB generated classes. For example a resource named 'Limits' may need to import a JAXB generated class also named 'Limits' this will trigger compilation errors.
We were trying to use the generator in order to create and use CXF Client Proxies for the RESTful web service mentioned above. This was necessary for us since we need to use the API for managing Radiojar, the main project we are currently working on.
I ended up checking out the source for JAX-RS Frontend and trying to fix the bugs in SourceGenerator.
Finally I managed to address the problems, so I will attach a patch to this issue, along with the WADL file and the imported XSDs."
CXF-3850,"https://issues.apache.org/jira/browse/CXF-3850
",SAML and UsernameToken validation should validate the realm of the incoming token against cached tokens,Improvement,CLOSED,Major,Fixed,None,2.5,Services,SAML and UsernameToken validation should validate the realm of the incoming token against the realm of the cached token
CXF-3827,"https://issues.apache.org/jira/browse/CXF-3827
",Cancelling a SCT with STS is missing verification of proof of possession key,Improvement,CLOSED,Major,Fixed,2.4.2,2.5,Services,"While cancelling a SCT with STS, the STS should verify the proof of possession key, most ideally in a configurable way where this verification can be switched on and off."
CXF-3835,"https://issues.apache.org/jira/browse/CXF-3835
",SAML and Username tokens should be cached in the STS service,Improvement,CLOSED,Major,Fixed,2.4.2,2.5,Services,The SAMLTokenProvider should put the issued tokens in cache and the SAMLTokenValidator and UsernameTokenValidator should use the cache for validation of the tokens. This would improve performance of the STS.
CXF-3826,"https://issues.apache.org/jira/browse/CXF-3826
",Implementation of caching in STS,Improvement,CLOSED,Major,Fixed,2.4.2,2.5,Services,"For implementation of caching within STS, the CXF TokenStore interface should be used. Moreover default implementations should be provided for InMemory and persistent and distributed type of caching."
CXF-3752,"https://issues.apache.org/jira/browse/CXF-3752
",Allow ability to reset values in ResponseTimeCounter via JMX,Improvement,CLOSED,Major,Fixed,None,"2.3.7, 2.4.3, 2.5",Management,"Issue CXF-2804 introduced the ability to reset the ResponseTimeCounter values using the method reset(). However, that method was not exposed via JMX. It would be very helpful to have that operation exposed."
CXF-2693,"https://issues.apache.org/jira/browse/CXF-2693
",Allow to use HttpsURLConnection's defaultSSLSocketFactory and defaultHostnameVerifier in CXF client,New Feature,CLOSED,Major,Fixed,2.2.6,"2.2.7, 2.3",Transports,"Allow CXF client (JAXWS & JAXRS) for HTTPS calls to use JVM wide SSL components :
HttpsURLConnection#getDefaultSSLSocketFactory()
HttpsURLConnection.html.getDefaultHostnameVerifier()
For this, I propose to add the following attributes to <http-conf:tlsClientParameters ... /> :
Attribute Description
useHttpsURLConnectionDefaultSslSocketFactory This attribute specifies if HttpsURLConnection.defaultSslSocketFactory should be used to create https connections. If 'true', 'jsseProvider', 'secureSocketProtocol', 'trustManagers', 'keyManagers', 'secureRandom', 'cipherSuites' and 'cipherSuitesFilter' are ignored.
useHttpsURLConnectionDefaultSslSocketFactory This attribute specifies if HttpsURLConnection.defaultHostnameVerifier should be used to create https connections. If 'true', 'disableCNCheck' is ignored."
CXF-3647,"https://issues.apache.org/jira/browse/CXF-3647
",Add schema validation explaination for samples/wsdl_first_xmlbeans README,Improvement,CLOSED,Major,Fixed,2.4.1,"2.3.6, 2.4.2, 2.5",Samples,"Similar to CXF-3640, the README of the wsdl_first_xmlbeans demo should also explain that the client will raise a schema validation exception at runtime."
CXF-3529,"https://issues.apache.org/jira/browse/CXF-3529
",Support for Map Interface in CXF Parameter Beans,New Feature,CLOSED,Major,Fixed,2.4.1,2.4.1,JAX-RS,"Apache CXF Rest Services doesn't support java.util.Map interface as their service arguments. They even do not support java.util.Map interface inside a bean.
This fix is to support Map interface as arguments and fields inside a bean.
> The code is tested with sample services like,
> public String debug(@FormParam("""")TestEmployeeTO testObject1,@FormParam(""map"") Map<String,Integer> map)
>
> public class TestEmployeeTO
{ > > private HashMap<String,String> currencies; > > //getters/setters > }
> Input Data
> map.x=11&map.y=9&currencies.IND=INR&currencies.USA=DOLLAR
> Output
> TestEmployeeTO[currencies=
{IND=INR, USA=DOLLAR}
]
> map=
{y=9, x=11}
>"
CXF-3535,"https://issues.apache.org/jira/browse/CXF-3535
",Use the Requested(Un)AttachedReference returned from an STS to refer to a SecurityToken for signature,Improvement,CLOSED,Major,Fixed,2.4,2.4.1,WS-* Components,"This task is to use the Requested(Un)AttachedReference returned from an STS to refer to a SecurityToken for signature. At the moment we construct a SecurityTokenReference element and set the appropriate ValueType (etc.) attributes on it, whereas we should just use whatever the STS returns."
CXF-3537,"https://issues.apache.org/jira/browse/CXF-3537
",Avoid CXF feature linked to a specific Karaf version,Improvement,CLOSED,Major,Fixed,None,2.4.1,OSGi,"To be compatible with several Karaf versions (including minor releases), the CXF features descriptor shouldn't reference Karaf version resources."
CXF-2716,"https://issues.apache.org/jira/browse/CXF-2716
",Collection Support for JSONProvider,Improvement,CLOSED,Major,Fixed,2.2.6,"2.4, 2.3.4",JAX-RS,"It seems JAXBElementProvider has the support for collections, but the same support is missing on JSONProvider. Submitting changes that would add this support"
CXF-3216,"https://issues.apache.org/jira/browse/CXF-3216
",Refactor http authentication to make it more flexible and simpler,Improvement,CLOSED,Major,Fixed,2.3.1,2.4,Transports,"The http authentication should be completely based on authSupplier. The HttpConduit should simply delegate to it.
We should also remove some of the other auth config options besides authorizationPolicy on conduit."
CXF-3160,"https://issues.apache.org/jira/browse/CXF-3160
",Reduce Code duplication between http transport variants,Improvement,CLOSED,Major,Fixed,2.3,2.4,Transports,"We still have to much duplicated or very similar code in the http transports.
Moving header code from AbstractHttpDestination to Headers
Moving invokeDestination from ServletController to AbstractServletController to share this code with http-osgi
Moving invoke from ServletDestination to AbstractHttpDestination to share this code with http-osgi
Removing doMessage from OsgiDestination
Removing invokeDestination from OsgiServletcontroller
Ignoring some mock based tests that do not work anymore. Will have to do some work on them
There are some small changes in the behaviour for http-osgi as we are now using the servlet code here. It would be great if Sergey or Dan could review this. Idon?t think the differences are important but I am not sure."
CXF-2928,"https://issues.apache.org/jira/browse/CXF-2928
",Add a configuration option that allows STSClient to use the requester's X509Certificate as the SubjectConfirmation KeyInfo data within RequestSecurityToken messages,Improvement,CLOSED,Major,Fixed,"2.2.10, 2.3","2.2.10, 2.3",None,"Request to expand the CXF STSClient to support a configuration option that enables an X509Certificate to be used as the saml:SubjectConfirmation KeyInfo element when making a WS-Trust RequestSecurityToken request.
Rationale is as follows:
1. The SAML 1.1 specification is flexible with regard to the type of XMLSignature KeyInfo (ds:KeyInfo) that may provided in a saml:SubjectConfirmation element to support the holder-of-key confirmation method.
2. Some relying parties require an X509 Certificate to be provided in the assertion confirmation data in order to perfom validation. For example, any relying party that uses WSS4J version 1.5.8 or earlier for SAML assertion validation (with holder-of-key conf) requires the X509 Certificate to exist in the subject confirmation data.
3. Accordingly, some STS implementations allow RequestSecurityToken ds:KeyInfo element to optionally contain either a ds:X509Certificate or the corresponding ds:KeyValue for the public key within the RequestSecurityToken message."
CXF-3256,"https://issues.apache.org/jira/browse/CXF-3256
",Allow sharing of session manager between different services on the same server,Improvement,CLOSED,Major,Fixed,2.2.10,2.3.1,Transports,At the moment a different sessionmanager is used for every endpoint. In our application we need to share the same session between all endpoints. As per Dan's reply here: http://cxf.547215.n5.nabble.com/Sessions-in-Stand-Alone-CXF-td557869.html I shall upload the patch we've been using. It would be great if this could be applied to the 2.2 and 2.3 branch if thats possible.
CXF-3146,"https://issues.apache.org/jira/browse/CXF-3146
",make gzip encoding works over jms transport,Improvement,CLOSED,Major,Fixed,None,2.2.12,None,"seems currently gzip content-encoding only works with http transport, all gzip related interceptors are in cxf-rt-transport-http module, but IMHO gzip content-encoding should be decoupled with the underlying transport. From my initial investigation, support gzip content-encoding over jms transport is doable if jms client use binary message mode, we only need address some protocol header mismatch issue."
CXF-3133,"https://issues.apache.org/jira/browse/CXF-3133
",Refactoring JAXRSInvoker to support CXF continuation better,Improvement,CLOSED,Major,Fixed,None,"2.3.1, 2.4",None,"I did some clean up work[1] on the CxfRsInvoker in Camel to let it work better with CXF 2.3.0 continuation API.
Current JAXRSInvoker is not friendly to CXF continuation API, and the method
public Object invoke(Exchange exchange, Object request)
is stateful and can't be called by the continuation resume process.
[1]http://svn.apache.org/viewvc?rev=1036343&view=rev"
CXF-3137,"https://issues.apache.org/jira/browse/CXF-3137
",Simplify http connection factory in http transport (please review),Improvement,CLOSED,Major,Fixed,2.3,2.4,Transports,"Currently the http transport uses a quite complicated way to create http url connections. There are two factories (for http and https). One is selected and cached. Then when you change the config of the transport it is eventually replaced.
I propose to make this much simpler by having only a https url connection factory that also handles the http case. The new code has one little drawback it also eliminates the ConnectionInfo classes partly. I think that is not a big issue as I think this classes are only used for https trust decisions. It would be great though if someone could review the patch."
CXF-2976,"https://issues.apache.org/jira/browse/CXF-2976
",Allow to configure SSL session cache size and TTL on the client,Improvement,CLOSED,Major,Fixed,"2.2.6, 2.2.7",2.3,Transports,"JDK SSL connectivity maintains a cache of SSLSessions that it reuses for subsequent connection. Unfortunately the default TTL in this cache is set to 24h. We have ran into an issue with a specific environment setup on the server side - with a F5 loadbalancer doing SSL offloading, the SSL sessions were valid on the load balancer but were broken beyond that point. The problem turned out the TTL of that cache being too long - in our case tuning it down to 60 seconds resolved the issue. FWIW we have actually encountered this issue with multiple vendors.
The timeout can be configured via SSLSession.getClientSessionContext().setSessionTimeout(int) - the suggestion is to add this parameter to be configured via TLSClientParams. Unfortunately the only way that the SSLSession is now accessed/configured is inside HttpsURLConnectionFactory - and this class is right now tightly coupled to a HttpConduit. There isn't actually a way to set the default TTL - or set it globally in the JVM"
CXF-2688,"https://issues.apache.org/jira/browse/CXF-2688
",Allow deactivation of SSL X509 Certificates validation,New Feature,CLOSED,Major,Fixed,2.2.6,2.2.10,Transports,"CXF client (JAXWS & JAXRS) for HTTPS calls currently only allows to disable hostname verification (<http-conf:tlsClientParameters disableCNCheck=""true"" />) but does not allow to disable X509 certificates checking.
Due to this, it can be painful to invoke services with self-signed certificates on non-production environments (see sample stacktrace below).
Here is a proposal to disable all X509 certificates in CXF (JAXWS & JAXRS) clients :
Add boolean attribute trustAllCertificates to <http-conf:tlsClientParameters ... />,
In the HTTPConduit, if trustAllCertificates=""true"", the HttpsURLConnectionFactory will use an 'accept all certificates' javax.net.ssl.X509TrustManager and an 'accept all' javax.net.ssl.HostnameVerifier.
Note : this proposal adds an attribute trustAllCertificates to the TLSClientParametersType complex type and thus this proposal requires to publish a new 'backward compatible' http://cxf.apache.org/schemas/configuration/security.xsd.
Configuration sample enabling 'trustAllCertificates' to invoke an HTTPS service:
<jaxws:client id=""helloWorldServiceClient""
   serviceClass=""com.example.HelloWorldService""
   address=""https://example.com/services/helloWorldService"">
</jaxws:client>

<http-conf:conduit name=""{http://example.com/}HelloWorldServicePort.http-conduit"">
   <!-- trust all certificates (self signed certificates, etc) -->
   <http-conf:tlsClientParameters trustAllCertificates=""true"" />
   
   <http-conf:authorization>
      <security:UserName>my-user-name</security:UserName>
      <security:Password>my-password</security:Password>
   </http-conf:authorization>
</http-conf:conduit>
CXF client exception's stacktrace with a self-signe certificate:
2010/03/01 22:05:23,682  WARN [http-8080-1] org.apache.cxf.phase.PhaseInterceptorChain - Interceptor for 
{http://example.com/}HelloWorldServiceService#{http://example.com/}sayHi has thrown exception, unwinding now
org.apache.cxf.interceptor.Fault: Could not send Message.
 at org.apache.cxf.interceptor.MessageSenderInterceptor$MessageSenderEndingInterceptor.handleMessage(MessageSenderInterceptor.java:64)
 ...
 at org.apache.cxf.jaxws.JaxWsClientProxy.invoke(JaxWsClientProxy.java:124)
 at $Proxy69.sayHi(Unknown Source)
 ...
Caused by: javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: 
sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target
 ...
Caused by: sun.security.validator.ValidatorException: PKIX path building failed: 
sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target
 ...
Caused by: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target
 ..."
CXF-2982,"https://issues.apache.org/jira/browse/CXF-2982
",Don't throw the SuspendedInvocationException when call the suspend() method of CXF continuation,Improvement,CLOSED,Major,Fixed,None,2.3,None,"Current CXF Continuation suspend implementation is based on throw SuspendedInvocationException, This implementation has a shortcoming which cannot call the other framework's async API after continuation suspend is called as Jetty7 does.
So I introduce a flag of Message.CONTINUATION_SUSPENDED to break out current interceptor chain as the SuspendedInvocation does, but It will make CXF continuation API more easy to use and it supports the Jetty7 continuation or Servlet3 suspend resume semantics."
CXF-2754,"https://issues.apache.org/jira/browse/CXF-2754
",Extend WS-Security component for higher level containers be able to use UsernameToken to authenticate a user and populate SecurityContext,Improvement,CLOSED,Major,Fixed,"2.2.8, 2.3","2.3, 2.2.11",WS-* Components,"By default, WSS4JInInterceptor relies on CallbackHandlers to provide or validate a password for handling digests and clear-texts respectively.
Also, the default SecurityContext is partially populated and thus can not be used for the authorization decisions.
Higher level containers should be able to delegate to their own subsystems for authenticating a user and populating SecurityContext"
CXF-2804,"https://issues.apache.org/jira/browse/CXF-2804
",Allow ability to reset values in ResponseTimeCounter,Improvement,CLOSED,Major,Fixed,"2.1.9, 2.2.7",2.2.8,JAX-WS Runtime,"Currently the ResponseTimeCounter module is only able to report data for the lifetime of a service. Users may want to periodically reset response time values to compare response time values at different points in time. For instance, how did reponse times compare between the hours of 1-2 AM and 1-2 PM?"
CXF-2793,"https://issues.apache.org/jira/browse/CXF-2793
",Provide capability for JMS client to specify separate ReplyTo queue and listener queue,New Feature,CLOSED,Major,Fixed,"2.1.9, 2.2.7","2.2.8, 2.3",Transports,"A customer using MQSeries would like the ability to specify a queue in the ReplyTo head of an outgoing message that is different from the queue that the CXF JMS client listens to for a response. This solution is for the scenario where the JMS client and JMS server are interacting with different QueueManagers, QM1 and QM2. In this scenario, the client and and server only know about their respective local QueueManager and not the remote QM. In such an instance, if a JMS client sends a message with a reference to a local queue associated with QM1 that it is listening to in the ReplyTo header, the JMS server associated with the remote QM2 will not be able to make use of that information since it only knows about local queues. Therefore the solution is to be able to specify a ReplyTo queue associated with QM2 which the server is aware of and then listen on a queue local to the client."
CXF-2753,"https://issues.apache.org/jira/browse/CXF-2753
",Need a way to preserve parameters wrapper in DocLiteralInInterceptor,Improvement,CLOSED,Major,Fixed,None,"2.2.8, 2.3",Core,"In DocLiteralInInterceptor, the following condition determines whether the wrapper is preserved when unmarshalling the parameters.
                if (msgInfo.getMessageParts().get(0).getTypeClass() != null) {
Currently, the parameters that I will get depending on whether service class (TypeClass) is provided. It is questionable that the condition is suitable for all DataBindings. For example, my endpoint uses SourceDataBinding which does not require to specify service class. So, when service class is provided, I get one parameter that wraps multi parts.
For example,
<GetPerson>
  <personId>foo</personId>
  <ssn>1234</ssn>
</GetPerson>
Otherwise, I get 2 parameters (in the example)
<personId>foo</personId>
<ssn>1234</ssn>
We should get consistent behavior regardless of whether service class is provided by users.
Here is my proposal to add a property to override the built-in condition (as in the attached patch). Free feel to come up with a better fix if you see fit.
    protected boolean shouldWrapParameters(MessageInfo msgInfo, Message message) {
        Object keepParametersWrapperFlag = message.get(KEEP_PARAMETERS_WRAPPER);
        if (keepParametersWrapperFlag == null) {
            return msgInfo.getMessageParts().get(0).getTypeClass() != null;
        } else {
            return Boolean.parseBoolean(keepParametersWrapperFlag.toString());
        }
    }"
CXF-2537,"https://issues.apache.org/jira/browse/CXF-2537
",Proposal : enhancement of HTTP exceptions messages,Improvement,CLOSED,Major,Fixed,2.2.3,2.2.7,Transports,"Troubleshooting of client side HTTP exceptions is often difficult for development, integration and troubleshooting teams.
Here is a proposal of enhancements of the exception messages :
Add the HTTP error code for 404 exceptions in addition to the message returned by the server.
Current message : java.io.IOException: Not Found
Enhanced Message : java.io.IOException: HTTP response '404: Not Found'
Add intermediate IOException with the invoked URL in the stack of causes of the ""WebServiceException: Could not send Message."" exception.
Current HTTP 404 exception message
==============================
javax.xml.ws.WebServiceException: Could not send Message.
at org.apache.cxf.jaxws.JaxWsClientProxy.invoke(JaxWsClientProxy.java:135)
at $Proxy67.sayHi(Unknown Source)
...
at java.lang.Thread.run(Thread.java:637)
Caused by: java.io.IOException: Not Found
at org.apache.cxf.transport.http.HTTPConduit$WrappedOutputStream.handleResponseInternal(HTTPConduit.java:2115)
... 71 more
Enhanced HTTP 404 exception message
===============================
javax.xml.ws.WebServiceException: Could not send Message.
at org.apache.cxf.jaxws.JaxWsClientProxy.invoke(JaxWsClientProxy.java:135)
at $Proxy67.sayHi(Unknown Source)
...
at java.lang.Thread.run(Thread.java:637)
Caused by: java.io.IOException: IOException invoking http://localhost:8080/this-page-does-not-exist.jsp
at org.apache.cxf.transport.http.HTTPConduit$WrappedOutputStream.close(HTTPConduit.java:1984)
... 62 more
Caused by: java.io.IOException: HTTP response '404: Not Found'
at org.apache.cxf.transport.http.HTTPConduit$WrappedOutputStream.handleResponseInternal(HTTPConduit.java:2115)
... 71 more"
CXF-2597,"https://issues.apache.org/jira/browse/CXF-2597
",Add response code to LoggingFeature for REST/JAX-RS specific response codes,Improvement,CLOSED,Major,Fixed,"2.2.5, 2.3","2.2.6, 2.3",Core,"As REST services use custom (http) response codes, it is very valuable to display the response code in the logs outputted by the LoggingFeature (ie LoggingInInterceptor & LoggingOutInterceptor).
I have a pending question : would it be interesting to add the response message (e.g. ""Not Found"") in addition to the response code ?
It would require to add it to the Message attributes in the HttpConduit and to create the associated constant on o.a.c.message.Message.
Current log message without the response code
2009/12/30 11:08:59,563  INFO [http-8080-3] org.apache.cxf.interceptor.LoggingInInterceptor - Outbound Message
---------------------------
ID: 26
Content-Type: text/html
Headers: {Date=[Wed, 30 Dec 2009 10:08:59 GMT]}
Payload: Hi cyrille
--------------------------------------
Enhanced log message with the response code
2009/12/30 11:08:59,563  INFO [http-8080-3] org.apache.cxf.interceptor.LoggingInInterceptor - Outbound Message
---------------------------
ID: 26
Response-Code: 200
Content-Type: text/html
Headers: {Date=[Wed, 30 Dec 2009 10:08:59 GMT]}
Payload: Hi cyrille
--------------------------------------"
CXF-2596,"https://issues.apache.org/jira/browse/CXF-2596
",Default logging in interceptor chain may pollute the log with stacktrace from application exceptions that are a part of the normal flow (should not be logged).,New Feature,CLOSED,Major,Fixed,None,"2.1.9, 2.2.6",Configuration,"A user of CXF may need custom handling for runtime errors produced by the application, not catchable within the application, e.g. exceptions from interceptors to the actual service.
E.g. applications may produce Exceptions that are a normal part of the flow in the application, in that case, it pollutes the log file to have it logged as stacktrace.
background: http://www.mail-archive.com/users@cxf.apache.org/msg10976.html
Configure via setting property to Bus or Service:
<property name=""org.apache.cxf.logging.FaultLogger"">
<bean class=""com.foo.MyFaultLogger""/>
</property>
MyFaultLogger must implement org.apache.cxf.logging.FaultLogger
Programatically:
Bus bean = (Bus) applicationContext.getBean(""cxf"");
bean.setProperty(""org.apache.cxf.logging.FaultLogger"", myLogger);
By endpoint:
<jaxws:endpoint id=""mySericeWS"" implementor=""#myServiceBean"" address=""/myServiceWS"">
<jaxws:properties>
<entry key=""org.apache.cxf.logging.FaultLogger"">
<bean class=""com.foo.MyFaultLogger""/>
</entry>
</jaxws:properties>
</jaxws:endpoint>"
